No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Ike Anigbogu\anigbik01,C,6-10,250,October 17 1998,us,R,University of California Los Angeles
44,Bojan Bogdanovic\bogdabo02,SF,6-8,216,April 18 1989,ba,3,
20,Trevor Booker\booketr01,PF,6-8,228,November 25 1987,us,7,Clemson University
2,Darren Collison\collida01,PG,6-0,175,August 23 1987,us,8,University of California Los Angeles
25,Al Jefferson\jeffeal01,C,6-10,289,January 4 1985,us,13,
6,Cory Joseph\josepco01,PG,6-3,193,August 20 1991,ca,6,University of Texas at Austin
22,T.J. Leaf\leaftj01,PF,6-10,225,April 30 1997,il,R,University of California Los Angeles
10,Trey McKinney-Jones\mckintr01,SG,6-5,214,August 27 1990,us,R,University of Miami
26,Ben Moore\moorebe01,PF,6-8,220,May 13 1995,us,R,Southern Methodist University
4,Victor Oladipo\oladivi01,SG,6-4,210,May 4 1992,us,4,Indiana University
0,Alex Poythress\poythal01,PF,6-9,235,September 6 1993,us,1,University of Kentucky
40,Glenn Robinson\robingl02,SF,6-6,222,January 8 1994,us,3,University of Michigan
11,Domantas Sabonis\sabondo01,C,6-11,240,May 3 1996,us,1,Gonzaga University
1,Lance Stephenson\stephla01,SG,6-6,230,September 5 1990,us,7,University of Cincinnati
5,Edmond Sumner\sumneed01,PG,6-6,176,December 31 1995,us,R,Xavier University
33,Myles Turner\turnemy01,C,6-11,250,March 24 1996,us,2,University of Texas at Austin
12,Damien Wilkins\wilkida02,SF,6-6,225,January 11 1980,us,9,North Carolina State University University of Georgia
3,Joe Young\youngjo01,PG,6-2,180,June 27 1992,us,2,University of Houston University of Oregon
21,Thaddeus Young\youngth01,PF,6-8,221,June 21 1988,us,10,Georgia Institute of Technology
